Id,Text,Topics,Emotions,Valence
6214232,"You may want to try making separate paragraphs for dialogue. Here is an example: Roy was sitting on the roof, waiting for the others to arrive. As he reminisced in the memories of earlier today, he heard the distinctive sound of Wally running up the side of the building and stopping a few yards away from him ""Well you weren't last this time"" said Roy as he walked toward his ""brother"". Wally smiled as he walked towards Roy. ""Well lucky for me I don't have to sneak away from the Batman"" See something like that. It makes the writing less cramped and for me ( I don't know about others) it makes it easier I read the story",Targeted corrective or constructive,No emotion,Neutral
789746,"judul sesuai sama isi cerita :'( akagi sialan kampret taik huhuhu si kaga seme pasrahan yaa wakakakak baka banget itu siyan amat kaga dah beli dildo bangsat ngakak taiklah :'( ini salah rate kak(?) banyak kalimat vulgar di atas x'D menjilat kulitmu,mengenyot ngondoymu,me ah ah ah(?) banyaklah :'( akagi tsun maniak aaaah gitulah ... ini malah bikin ngakak /balik kerja",Miscellaneous,Unknown,Unknown
10187961,"heehee. cool chapter. a little smooching and a lotta drinking. my kinda night. *grins* BOOYA! um, so yeah you've really got it in for mia, doncha? lol! not that i'm complaining cosidont really like her either. you should see what happens to ehr in my story. oops, did i just say that. i mean, yeah i hate her too. well,this should do for now ya lil review whore. love ya. Cc.","Targeted positive,Discussion about the story,Two-sided connection","Joy / Happiness,Like",Positive
11661985,Continue all of your Hotel Tranysalvania stories plz!,Update encouragement,Like,Positive
4670606,"Hermione was so out of her comfort zone here! The elves won't talk to her, the little ones just want to know about nice Draco and there are things she can't do as well as a second year. And cooking! Poor love. The whole bit about wandless household magic really tickled me. And of course Hermione has to find out! I felt a bit sad for her too because it was all about growing up in the magical world and having a mother to show you things. Having lovely visions of all Draco's ducklings being bridesmaids at their wedding and following Draco round at the reception. Ahh, a Rebuilding day is a happy day.",Targeted positive,"Joy / Happiness,Like,Sadness",Positive
6039480,pauvre petite Pipa,Miscellaneous,Unknown,Unknown
8620213,That was really good I loved it. :),Shallow positive,"Joy / Happiness,Like",Positive
1136617,aku suka critanyaaa .. lucuromace :D lanjutkan yaaa,Miscellaneous,Unknown,Unknown
1489200,"C'est court, trop court ! Je veux savoir la suite ! Je me demande quel accident a eu la ""fausse Hinata"", mais ça doit être assez grave. Tu as très bien développer les sentiments et les incompréhension de Hinata, mais je doute qu'elle s'adapte facilement à sa nouvelle vie (Après tout, c'est très différent). Je suis pressé de lire le prochain chapitre. Bonne chance pour l'écriture !",Miscellaneous,Unknown,Unknown
9688953,"Buttercup should have been kicked Butch's ass already for what he did. Blossom and Bubbles are another story. They are way too ooc. Too aggressive. While I read ı think Blossom was on drugs. But some jokes are really funny. I'm on 3. chapter. I try one more. If it go like this, I'm done.",Targeted corrective or constructive,"Anger / Frustration,Like,Dislike",Negative
4745778,Fantastic story bravo i say bravo,Shallow positive,Like,Positive
3420952,ooohh! i love it! so cute!,Shallow positive,"Joy / Happiness,Like",Positive
10238055,"omg! more please! i love their chemistry, care, & concern for each other!","Targeted positive,Update encouragement","Joy / Happiness,Like",Positive
8739325,"so cute! (please continue, it looks like it would be an AMAZING fic! i know, i know, always leave them wanting more, but you could do it! i'll marry it later! *hopeful face*)","Shallow positive,Update encouragement","Joy / Happiness,Like,Anticipation / Hope",Positive
6305442,"Gah! Stupid people. Why are they so mean? You're right. Everytime I try to say it, it sounds like Irish rishwash. Another amazing chapter! Update soon please!","Shallow positive,Update encouragement","Anger / Frustration,Like",Positive
4272156,"Tough one... Hm... Just so long as you don't kick out Shino and Kiba. XD Shikamaru is pretty hilar also... Yeah, I love this fic. Absolutely hilarious. Please continue!","Discussion about the story,Update encouragement,Targeted positive and corrective/constructive","Joy / Happiness,Like",Positive
9500405,Hi! Would it be possible for Beca to sort of be enamored with another woman and ask Chloe for advises? Wanna see how Chloe reacts,"Targeted corrective or constructive,Discussion about the story",Anticipation / Hope,Neutral
2373609,"J'ai tellement hâte d'avoir la suite à lire. En fait je suis un peu tomber sur ta traduction par hasard. Parce que je ne connais pas vraiment wrestling. Malgré ca je trouve cette histoire geniale. Je ne vais pas non plus te pousser ou te harceler, je sais moi même a quel point les délais sont durs a tenir. Donc fais de ton mieux. Au fait au milieu de ce chapitre il manque le nom d'un personnage, du coup j'ai du mal a suivre. Sinon c trop triste que Hunter revienne ce mec est un salaud. Pauvre Seth",Miscellaneous,Unknown,Unknown
3342461,I love it,Shallow positive,Like,Positive
4785056,"So he's going to wake up, remember last night, and flip out. Or, the sword WAS a GHOST sword, so maybe JUST MAYBE Sam will become a ghost?",Discussion about the story,Confused,Neutral
11477451,Loving it so far! Please update! And I'll have to say...they get into a small scale accident,"Shallow positive,Discussion about the story,Update encouragement","Joy / Happiness,Like",Positive
1159145,"WHAAAAA? YOU UPDATED BEEYATCH SO FAST I LOVE YOU! and OBVI you love me as well since you updated so fast! I only commented ONCE last time , I was trying to give you a break by only commenting like once every two days or so...but you updated in like TWO DAYS! guuurrrrllllll! Ok . haven't yet ready this chapter yet - I AM OFF AND SHALL RETURN ONCE READ!","Shallow positive,Discussion not about the story,One-sided connection,Update encouragement","Joy / Happiness,Surprise,Like,Anticipation / Hope",Positive
4460728,oh...sry if i insulted u! (,Two-sided connection,Sadness,Neutral
10072013,"I'm really sorry... whatever you were feeling must have been terrible. I love this story, and the fact that it hints at future happiness. Keep up the great work, please :)","Targeted positive,Discussion not about the story,Update encouragement","Joy / Happiness,Like,Sadness",Positive
1682592,aiiih gak rido baca itachi kayak gituuu _ wkwkwkwk tapi lucu,Miscellaneous,Unknown,Unknown
7228232,Wolfy- Interesting (\_/) (00) :D (_) - bunny LOL,Shallow positive,"Joy / Happiness,Surprise,Like",Positive
1432033,"I like how the chapters are going so far, good job :) can't wait for the next update","Shallow positive,Update encouragement","Joy / Happiness,Like,Anticipation / Hope",Positive
2457831,oohhh..es un hermoso fanfic de felicito sigue asi a mi me hizo llorar,Miscellaneous,Unknown,Unknown
3314896,"Don't they find it suspicious alone. That there's a girl with blue eyes darker skin and wavy hair at all? Unless some waterbender s colonized. But according to the story they're all dead except Katara and Sokka (not to mention her name could be great give away as well. Wouldn't she stick out, I'm just a bit confused here (-_-)","Targeted corrective or constructive,Discussion about the story,Fandom remarks",Confused,Neutral
3763522,"i love it! kkk! taeyong bener2 tipe tsundere, entah di dunia nyata maupun di ff. ekwkwkwk, dan aku suka, waks gak sabar nunggu lanjutan cinta mereka, eaaaa semangat nulisny!",Miscellaneous,Unknown,Unknown
3095061,"J'adore! Comme d'hab... T'as vraiment du talent pour écrire... Bah ouais hein... Toutes les fic que j'ai lue de toi mon plu ! :) Moi je sais pourquoi le Patron ""attire"" tellement... C'est à cause de technique de manipulations (que Mathieu à apparemment mis en place sans faire exprès) et qui nous montre que c'est lui le chef... Ensuite, la phycologie fait que souvent on apprécie les gens avec fort caractère... Et la voie suave, etc. etc... Bref! J'aime beaucoup ce couple aussi Bisous et à bientôt! The PATRON alias Sarah la Chelougirl... ;) PS: Merci de m'avoir mis la musique en tête... J'vais me la trimballé toute la journée maintenant... Fait moi mal, Johnny, Johnny, Johnny... lalala-la-la... xD",Miscellaneous,Unknown,Unknown
10796032,"Nachzes: Olei olei olei olei sayin' hot hot hot... Uh...yeah. Your review. Right then. [claps hands] Thedore! In here, now! [Thedore shuffles up] Nachzes: Man, you're dusty. [coughs] Theadore: [grumbles] Nachzes: Whazzat? Theadore: Your fault. You've been neglecting me. [sulks] Nachzes: [rolls eyes] Poor baby. Anyways, loved the chappie. I LOVE THIS FICCIE! MINE! [glomps possesivly] [snarls] Thedore: [wanders off] Nachzes: [sticks her tongue out in the direction he went. Good-oh on the lime...that wasn't very limey...but whatever. [flicks hair out of eyes] [sighs] [looks up at the ceiling] Hm...what else to say...? Uhm...I like the title, but it made me think they were gonna go to Alkatraz or somethin', but whatever, and the flashbacks were lovly, though I think you're having trouble with your italics formatting... Haiiro: Hurry up. Nachzes: Nya. [continues] Yami and Seto's relationship in this is wicked. It's, like, just so DIFFERENT than the ones you normally read. So, Seto was finally uke, was he? [eyes dance with amusement] He's so hot as uke.","Targeted positive,Discussion about the story,Fandom remarks,Miscellaneous,Discussion not about the story","Like,Joy / Happiness",Positive
10318301,"this is SOOO GOOD! keep going, though, you have to tell what happens!","Shallow positive,Update encouragement","Joy / Happiness,Like,Anticipation / Hope",Positive
3714447,"Aaaaaw how sweet :D That was really cute :3 A very good fanfic and I love little Germany and Prussia together :D But now here comes a german ass xD .. With my correction advice xDDD I'm sorry... I have to. It's the german spirit to correct! ..Well... actually not. But .. I shut up now XD It is ""kleiner Krieger"" Schreckgespenst isn't nightmare in german. Schreckgespenst means spectre :D nightmare is: Albtraum And it's ""Junge"" not ""junge"" we write the nouns big. :D The same goes to ""Bruder"" and ""Nacht"" And sorry if I suck at english XD Thanks for this fanfic, I truly enjoyed it :D",Targeted positive and corrective/constructive,"Joy / Happiness,Like",Positive
4928406,I change my mind... BEST CHAPTER EVER,Shallow positive,"Joy / Happiness,Like",Positive
9431832,Don't care just write the story !,"Non-constructive negative,Update encouragement",Anger / Frustration,Negative
2235163,"tan bonito sasuke! ps entenmos a sakura pero si yo lo amo y estoy entre su sueño de toda la vidad, el recuerdo de sus padres pòr la musica y yo por mi amor asi el yo dejo que se valla y si es posible me voy con el, igual sakura no hace nada productivo, solo trabaja en la biblioteca, eso lopuede hacer halla amo esta hsitoria llevaba varias semanas esperanto que pusieras la conti te ruego de todo corazon que no te demores tanto, la tengo tan presente que no tuve que delvolverme de paguina para cogerle el hilo amo esta historia por es romance puro pero ps ya es hora que la relacion avance no? esta estancada no crees jajajaja no se es muy opinion porfiss conti y muchisimas gracias por ponerla tan larga :D",Miscellaneous,Unknown,Unknown
821785,OMG I LOVVVVVE IT PLEAZ MAKE MORE!,Shallow positive,Joy / Happiness,Positive
5784292,"hallo, disini akau sebagai penggemar komiknya kak Kanan Minami, cuma mau bilang kalai fanfic ini KATA-KATA (PERCAKAPAN DLL), EFEK SUARA, CERITANYA, Itu persis njiplak komik That Is Not A Child but a minor nya kanan minami kan? semuanya sama persis, gak persis sih emang SAMA, kamu cuma ganti nama tokohnya doang, pemeran aslinya yang cewe 'Karin Oriyama' kamu ganti jadi 'Xi Luhan' dan pemeran asli yang cowok 'Nao Tsurugi' kamu ganti jadi 'Oh Sehun':v yagapap sih, tapi seenggaknya dicantumin kredit atas nama kanan ;v",Miscellaneous,Unknown,Unknown
258804,"Kini saya sudah bisa membaca pesen moralnya apa ""Cinta ditolak kau kuperkosa"" Hemmm terima kasih author, sejak saya baca ff author gejala asma saya hilang. Dan saya bisa bernapas lega *senyum bahagia. Bye author SH yg labil. I love you so much",Miscellaneous,Unknown,Unknown
11547952,"I love your stories so much. Please continue ""Love in the Shadows""","Shallow positive,Update encouragement","Joy / Happiness,Like",Positive
5413464,"oo, are you gonna update this? I'm a HUGE fan of Raven and this story really intrigues me so far! i wonder what the cat has to do with the story owo","Shallow positive,Discussion about the story,Update encouragement",Like,Positive
8942926,Love the ending! Please write more stories soon!,"Targeted positive,Update encouragement","Joy / Happiness,Like",Positive
8088838,lanjut,Miscellaneous,Unknown,Unknown
9293837,Merci pour cette délicieuse fiction .,Miscellaneous,Unknown,Unknown
5883596,keep writing eonni... karyanya di tunggu... kalo berkeluarga berantem terus nanti benci lama lama jadi cinta...,Miscellaneous,Unknown,Unknown
9891355,damn simba and nala arguing that is decent but they have family so that's ok I can't wait to read more,Discussion about the story,"Surprise,Like,Sadness,Anticipation / Hope",Positive
3299633,"Yeah Yeah... I hate Zuko for now... Toph should kick his but... The wedding? PS: I can't review ""Unspoken"" right now...Stupid But I'll not stop till You write the wedding! You have lots of fanfics where I can review! EVIL LAUGHT","Targeted corrective or constructive,Discussion about the story",Anger / Frustration,Neutral
1986053,"Senpai... Crita BlackXWhite rame bgt ! Apdetan'a slalu vika tggu .! Tp kok istri itachi'a sasori sieh ? Klo sasori jdi'a agak aneh dehk, senpai .! Knapa gak milih yg laen ? (bru skali ripiu aja banyak bacot)_",Miscellaneous,Unknown,Unknown
2892600,I know it's been awhile but please update this...It's so good! Desperate to see what comes next,"Shallow positive,Update encouragement","Like,Anticipation / Hope",Positive
5140316,"Thot kpn update lgi?pdhlkan critanya sru!huh,author nyebelin nih!changmin lht ja kmu psti klh dri wonnie oppa! Update thor!Lanjut ok!",Miscellaneous,Unknown,Unknown
5465186,"Sedih wktu kyu lagi"" nyakitin ming...semoga ming ttep kuat yaa,,brtahan buat kyu..untung ny kyu cpt sadar siapa yg sbenerny dy cintai..good job author.. Ditunggu next chap..fighting!",Miscellaneous,Unknown,Unknown
4813822,woow.. This Fanfic is great! I think this is the best Naruto fan fic i have ever read.. Good job *Thumb up* Hope you will continue writing.. ;),"Shallow positive,Update encouragement","Joy / Happiness,Like",Positive
10653476,Loved how clarice changed it up on Hannibal and surprised him. Story is going in a great direction. Still love it!,Targeted positive,"Joy / Happiness,Like",Positive
7027139,"This is good, can't wait for the Health check to pop up. It will really get some momentum going.",Targeted positive,"Like,Anticipation / Hope",Positive
40723,Very intelligence and clever to change the perspective!I'm writing anxiously for 't keep usar waiting. Angela Lopes from Brazil,Targeted positive,"Like,Anticipation / Hope",Positive
5835672,Type your review for this chapter here...,Miscellaneous,Unknown,Unknown
9741805,*squeals* AMAZING! PLEASE UPDATE ASAP!,"Shallow positive,Update encouragement","Joy / Happiness,Like",Positive
3976678,It's hard to find good fics where Alfred is in a dress! I loved it! Very cute :),Targeted positive,"Joy / Happiness,Like",Positive
10064374,This is a great idea for a story. They should make it into a new Yugioh film or series- I've been waiting for the Pharaoh to come back for ages. :),Targeted positive,"Like,Anticipation / Hope",Positive
9600036,"WhAT? Hold on, I'm sorry but before I move onto chapter 67, I need to clear my head. So, on chapter 65 That ending just made me die dude, like I was squealing like a little girl. And then, it was over just like that. Great update! It had its moments with MultiBear too! Chapter 66 just made me freak the flip out. Poor Tad strange, I'm a little worried about him interfering with Bill's relationship with Ford. & omg Bill is going to hate the prince. It was a great chapter! I'm so sorry if this review is rushed, but I just got back from a small road trip, and there was no WiFi, like at all. I just needed to review on 65 & 66, feeling as I missed a lot. And surprise! I missed everything! I think I'll read 67 tomorrow, I need to go to sleep already (It's already 2AM) Keep up the great work! Its amazing! So sorry that this review is so late! (This review is a huge train wreck, I'm so sorry mg)","Discussion not about the story,Targeted positive and corrective/constructive,One-sided connection","Joy / Happiness,Surprise",Positive
10621658,This is sooooo cute!,Shallow positive,"Joy / Happiness,Like",Positive
8921596,"Just re-read my latest review, and I think it might be misinterpreted. I didn't mean I had had enough of this story, I meant that my re-read was done. I'm with you until the end, whether it be bitter or joyful. Also, I don't remember the Goddess specifically telling Anna that her powers came from their healing sessions; I just thought she told her she had been useful because she sensed some latent magic in her, then kicked her ass. Unless she visited her later while Anna was chained up (unlikely), they didn't have any conversation about where Anna's powers came from at that time. After all, if they did, Anna would wonder why Elsa allowed her to be enhanced, as she does in this chapter. It's not a big deal, since throughout the story, both women believed that Anna's strength came from Elsa's healing powers, and had all but dismissed Drell's account since it didn't tally with reality (Elsa wasn't an evil goddess). This chapter just seems to imply that the goddess spelled out the ""reason"" for Anna's powers, despite such a thing not happening in the text. Also, when Drell says that magic from gods can only go to ""their children, or those that they love"", does that mean that they don't love their children instinctively? Considering that this is a ""Frozen"" fiction, and the fact that you had Rapunzel giving her brother a true love's kiss earlier, this phrasing just seems really awkward. Maybe change it to ""those with whom they fell in love"", so that it becomes more specifically about romantic love, and stresses that point to Anna.","Targeted corrective or constructive,Discussion about the story,Fandom remarks,Two-sided connection",Confused,Neutral
10337183,PSSS DUDE ! THE WHOLE SEELING HIMSELF IN THE CAVE THING IS VEEEEERY RETARDED pssss NO OFENCE PSSSSS U SHOULD HAV HAD HIM RUN AWAY INTO AROW PSSSSSSSSSS MAKE SLY COOPER FIC PLEEEEEEEEEEEES! LETS DICUS THIS ON XBOX 2 MOROW 2 ANY 1 WHO READS THIS MY GAMER TAG IS Frosty Bear 54 spelled like that DONT 4GET THE SPACEES FB OUT PEACE,"Targeted corrective or constructive,One-sided connection","Anger / Frustration,Dislike",Negative
3017611,"AAHH thank you so much for writing this wonderful series! I'm so impressed by how many layers there are to this fic, and how it deals with anything from political intrigue to hilarious drama llama scenes. You are such a fantastic writer!",Targeted positive,"Joy / Happiness,Like",Positive
4899373,"Okay...That was funny...But, the Texan accent thing wasn't...I am Texan, and I find that offencive.(Damn Northerners...)And, I agree with all Sotherners, that you Northerners have a drawl and accent, not us.","Shallow positive,Targeted corrective or constructive","Like,Dislike,Anger / Frustration",Negative
5616049,"Thor, bisa di jadiin M-preg gak nih ff,,? bakalan seru thor klu kyumin menikah dan sungmin hamil... kkkk",Miscellaneous,Unknown,Unknown
4052517,! i love it! its so much fun to use exclamation points! it is such an awsome story! :o)!,Shallow positive,"Joy / Happiness,Like",Positive
1192580,"Omg you have it set down, do continue. tHis is so interesting","Shallow positive,Update encouragement","Joy / Happiness,Like,Anticipation / Hope",Positive
2169529,"If you can put in an epilouge *if you can* and close the story line, yeah they had sex but did it mean anything is the next thing on a normal persons mind... I could understand the fucking being the end if the cliche I love you too at the end would have come out but it just seems like it ends. On a HAPPY note the erotic scene was fantastic! keep practising and researching and you could put these other girls to shame! Keep Writing, Belle","Targeted positive and corrective/constructive,Update encouragement","Joy / Happiness,Like",Positive
11406990,Dawwww,Shallow positive,"Joy / Happiness,Like",Positive
9114684,"holaaa porfavor continua la historia, lo has dejado en las partes crucialesT.T! escribs de forma magnifica y por lo q vì aun eres activa en el foro. por favor tomate el tiempo de actualizar tan bella historia*.* saludos!",Miscellaneous,Unknown,Unknown
5634339,"Aigoo dasar jungdae ! Aaaa ngeselin banget sih ni orang, pengen di cincang2 eoh?! For my junhongie bunuh aja si jungdae aku rela kok, lahir batin malah. Dan sabar ya, jungdae emang gitu. Haha bikin ff daelo lagi yaa",Miscellaneous,Unknown,Unknown
6517523,Gay annnd cute,Shallow positive,"Joy / Happiness,Like",Positive
3095420,Inanimate Insanity,Miscellaneous,Unknown,Unknown
83507,"Oh God, it has been a fair few years since my last encounter with these marvelous novels and I'm ashamed to admit that this fanfiction made little sense to me in terms of placement in the story. Still, I found this to be a thoroughly enjoyable oneshot. You adressed one of the more complex themes of law beautifully through Hermux; it was wonderfully written, sweet and interesting. A lovely read! I hope you'll be writing more Hermux-verse fanficiton! Love, Blue-eyes Thropp (too lazy to log in ;-) )","Targeted positive,Discussion not about the story,Update encouragement","Joy / Happiness,Like",Positive
9332452,aww I feel sorry for the girl I just want to hug her!,Targeted positive,Sadness,Neutral
6152830,I love how Harry took action and didn't just let it happen. It always annoyed me how he was so okay with sitting by and letting that b*tch do such things to him and the other students. Marvolo is awesome.,Targeted positive,"Joy / Happiness,Anger / Frustration,Like",Positive
9058758,Love Ron and Kim,Targeted positive,"Joy / Happiness,Like",Positive
10303920,"well, mark needs to mind his own business. riddick needs to chill. the child is only five and they love to play grown-up. and well, jack needs to be not so defensive around him. they all need to try a little harder to get along. i hope he comes back. very good chapter thank you.",Targeted positive,Like,Positive
1216966,Amazing story I almost cried. Please don't let them forgive Sakura. Naruto didn't deserve to be treated like that and she deserves everyone to hate her. Its not fair if they all forgive her.,Targeted positive,"Sadness,Like",Positive
5277056,Thor rate ny bkal naik yah? Hehehe minie msh klah evil ma kyu. Kira2 prmntaan kyu ap yah?jngn2 ad hbngan ny ma rate M neh. D tngu thor chap dpn ny,Miscellaneous,Unknown,Unknown
6423874,"Oh, Cole is straight, BTW",Miscellaneous,No emotion,Neutral
11880494,"Emang berantakan sih, tp masih enak (?) di baca kok :D Cerita nya jg menarik Fic ini hrs, kudu, wajib lanjut ampe tamat kaga boleh discontinued ! *ditabok author Update kilat y ! Penasaran ama lanjutan nya Keep writing",Miscellaneous,Unknown,Unknown
25204,"*sheepishly shuffles through the door* sorryy... I know I haven't been reviewing for aggeeess but, same as you, schools back, homework to be done, got some family issues and I just didn't seem to have time to do anything... I hope you will accept my, albeit not so rambly but still quite, apology and allow me to continue with my, very rambly, review... Well, here goes... Oooooooh I loved it, the idea for a play is just ingenious and I absolutely adore the way the way that you completely got their excitement across, just the way they would have acted :D you have, as always, got their characters completely down to a T and I love love LOVE the way that you describe the setting and their clothes and everything just so perfectly! I realise that you have had to put this on pause but I hope that you will find some time somewhere to tell us who wins! Personally I'm rooting for the team with the mad cow and John and nancy :D as I do a ridiculously large amount of acting myself I was very pleased with how both productions we're written. You could perhaps have explained the set in a little bit more detail and perhaps announced where they were entering from such as stage-left or downstage right and those sort of things to help the reader get a better image but I think I'm probably just being picky having done too many drama shows and drama stuff :D if you need any help with the technical side of drama to decode which team wins I would be happy to help. If you like you could email me (I'll give you my email more privately somehow :D). But I absolutely loved the two chapters updated! Thought they were absolutely perfect and I even feel like you're improving! If that's even possible! Feel do proud even though you're probably older than me but I've stuck with you, mostly :/ anyway I hope you will find the time to read this rather rambly but very complimentary review of your absolutely breathtaking work! Please continue if you have the chance I can't wait to find out what happens next!","Targeted positive and corrective/constructive,One-sided connection,Update encouragement,Discussion about the story","Joy / Happiness,Like,Anticipation / Hope",Positive
10683798,"Noooooooo! They can't be over! It's not Portman's fault that his dad is a big Fulton, poor Portman, how will it end?",Discussion about the story,"Sadness,Confused",Negative
7527952,DIBS,Miscellaneous,Unknown,Unknown
9176617,"Not bad so far :) A few comma splices here and there, but other than that it seems all good. Couple of little things before I leave (and sorry if I come off as being anal here): Merlin's name is spelled with an e, not a y. Also, I don't give a damn what the movie said, his name's Mephisto, not Mephistophelese Can't wait for the next chapter :)","Targeted positive and corrective/constructive,Update encouragement",Like,Positive
6420029,"1. Maybe Azealia, Rowan and even Penny? 2. Sebastian, Piper and Silvana Trivia: Badger Update soon please!","Discussion about the story,Update encouragement",No emotion,Neutral
4190352,"I am glad you updated again. I am still enjoying the story. Please update soon, so I can read, what Giles has found in the library and what Leo says when he gets back.",Shallow positive,"Like,Anticipation / Hope",Positive
4194939,Very interesting. I quite like this and i too would like to see some more _~,"Shallow positive,Update encouragement",Like,Positive
6451527,Lol thats so funny! Especially because only wally knows robin is dick i kind of eant to see the after match when dick/wally are talking and maybe dick/the team are talking!,"Shallow positive,Miscellaneous",Like,Positive
6489062,"This is getting good. You have me a little impatient, but that's a good thing! You really have me attached to the story! Sorries I don't always review but I am reading! Continue your great work!","Shallow positive,Update encouragement","Like,Anticipation / Hope",Positive
5431668,Great job authornim !,Shallow positive,Like,Positive
321384,ahaiii alurmya bakal menarik nih kayaknya :) hohoho,Miscellaneous,Unknown,Unknown
11615451,I so wantmore baby fics of NaLu. Love this!,"Targeted positive,Update encouragement","Like,Joy / Happiness",Positive
5631018,"itu yang gegulingan/? di kasur sehun ya? jadi sebenernya sehun juga suka sama luhan? jadi mereka sebenernya sama-sama suka, tapi sama-sama ga berani ngomong juga? duh, mumet. kalo bisa berkali-kali aja, waks xD *reader mesum* next chap update asap ya thor, semangat semangat...!",Miscellaneous,Unknown,Unknown
6853781,que lindo te quedo! que kawaii el migue! quedo como el villano chile pero... bueno me encanto la parte d los politicos ja es re verdad pobre martincito ToT yo lo sigo queriendo :D xD,Miscellaneous,Unknown,Unknown
7486460,Chapter 1 is so funny. I hope you update this story. Thanks for it btw.,"Update encouragement,Targeted positive",Like,Positive
5436237,"Aq gk tw chapter 9 dh update,, Telat baca.. Nice plot,, Btw tar ada baby Yunjae? Haaa itu kalo mpreg,, Semangat nulisnya cho,,",Miscellaneous,Unknown,Unknown
7441931,You got somethin cooking here... and I like what's on the menu :D,Shallow positive,Like,Positive
4566886,Awaesome chapter i really like it keep up the great work! p.s deidara is a man,"Update encouragement,Shallow positive",Like,Positive
